id,tag_name,created_at
1,sunset,"2024-01-17 19:27:10"
2,photography,"2024-01-17 19:27:10"
3,sunrise,"2024-01-17 19:27:10"
4,landscape,"2024-01-17 19:27:10"
5,food,"2024-01-17 19:27:10"
6,foodie,"2024-01-17 19:27:10"
7,delicious,"2024-01-17 19:27:10"
8,beauty,"2024-01-17 19:27:10"
9,stunning,"2024-01-17 19:27:10"
10,dreamy,"2024-01-17 19:27:10"
11,lol,"2024-01-17 19:27:10"
12,happy,"2024-01-17 19:27:10"
13,fun,"2024-01-17 19:27:10"
14,style,"2024-01-17 19:27:10"
15,hair,"2024-01-17 19:27:10"
16,fashion,"2024-01-17 19:27:10"
17,party,"2024-01-17 19:27:10"
18,concert,"2024-01-17 19:27:10"
19,drunk,"2024-01-17 19:27:10"
20,beach,"2024-01-17 19:27:10"
21,smile,"2024-01-17 19:27:10"
